17.2409,5.23613
22.1645,5.20241
27.11,5.14358
32.0241,5.17929
36.9591,5.19029
41.8633,5.22387
44.1291,5.97201
46.091,7.03409
47.2389,8.51881
47.6227,10.3025
47.2965,11.5963
46.1798,13.231
43.9145,15.5564
41.6503,17.4555
38.6779,19.3664
36.0412,21.9602
35.1891,25.0561
36.1085,28.7642
39.3534,31.0387
42.8014,32.3835
45.3281,32.8556
47.5404,33.3129
49.5882,33.6892
52.4909,35.0467
54.3228,36.845
55.0227,38.4368
55.4733,41.1991
55.3671,43.2385
54.4214,45.9382
52.6462,47.2269
51.0211,48.0547
47.269,49.4482
43.0816,50.533
38.8557,52.1862
34.4554,54.1492
30.4224,56.3604
26.4954,58.4883
22.4975,60.0679
19.7206,60.2562
17.8722,59.3998
16.1895,58.0371
15.2725,56.5222
14.6289,54.6506
13.4673,50.7315
12.5492,46.6211
11.4939,42.435
10.8798,39.108
11.4571,36.6314
12.8405,34.6931
15.0441,31.698
17.6909,28.543
19.4318,25.0653
18.3901,21.456
18.3901,21.456
15.058,18.9545
11.025,16.8915
7.34252,15.6842
3.94464,14.329
1.52138,12.7327
1.08354,11.3034
0.798769,9.43193
0.943291,7.83313
1.77306,6.46556
5.12928,5.2126
8.91045,5.19832
12.9778,5.19105
17.2395,1.16185
22.2567,1.23207
27.1053,1.2253
31.9288,1.09536
36.8893,1.08849
41.9163,1.18014
46.0668,1.76828
49.6163,3.67884
51.6053,6.49796
52.4558,10.033
51.9352,12.9813
49.6754,15.8379
46.6481,18.6759
43.8603,20.9186
41.7105,22.4432
40.5499,23.5896
40.3217,25.043
40.9379,26.4612
41.8707,27.4073
44.1791,28.2736
46.5156,28.6542
49.1829,29.1991
52.0301,30.001
54.5754,31.729
57.1296,34.1565
58.692,37.3068
59.7053,40.8036
59.5607,44.4069
57.9927,47.7671
55.0219,50.6767
52.5597,52.0088
48.498,52.7089
44.5704,53.9469
40.6861,55.4438
36.3584,57.7163
32.162,60.0254
27.878,62.3302
24.0386,63.91
18.916,64.1828
16.0599,63.1205
13.6822,61.581
11.4934,58.2452
10.5699,55.0846
9.87829,51.3307
9.05118,47.4521
7.90441,43.3913
6.98259,38.925
8.007,34.806
10.1048,32.2465
12.2847,29.6082
14.2681,26.7814
15.3155,25.2111
15.0894,23.5329
12.7154,21.8342
10.0741,20.0124
5.87185,19.2478
2.09802,17.6802
-1.18646,15.2714
-2.74695,12.4667
-3.20718,10.4084
-2.8354,6.68485
-0.46548,2.98389
4.9793,1.32286
8.83496,1.1776
12.9464,1.27545
12.9464,1.27545
15.7222,5.19457
14.0178,5.17181
13.8914,1.27404
15.6466,1.19607
